Gene	ExonSize	ck_rep1	ck_rep2	ck_rep3	trt_rep1	trt_rep2	trt_rep3
AC195864.3_FG017	1659	21	30	28	14	25	41
AC195874.2_FG002	852	625	644	672	597	638	757
AC195914.2_FG003	1326	5	8	2	12	13	11
AC195954.3_FG001	432	15	10	18	8	18	16
AC195980.2_FG004	2142	6	6	4	28	26	50
AC195995.3_FG008	612	5	23	8	12	6	8
AC196043.3_FG005	504	163	136	150	139	77	122
AC196059.3_FG003	714	530	560	646	895	349	639
AC196066.3_FG003	681	351	349	346	140	287	412
AC196110.4_FG004	474	18	35	63	61	23	175
AC196156.3_FG003	282	362	386	404	311	434	483
AC196158.3_FG002	1293	306	159	143	211	80	197
AC196171.6_FG002	909	10	6	7	7	9	6
AC196278.2_FG004	879	27	28	16	5	23	13
AC196426.3_FG007	2235	1690	1953	1595	1262	2002	1970
AC196431.2_FG001	456	14	11	7	10	9	23
AC196465.3_FG002	627	22	25	22	24	27	26
AC196465.3_FG006	2100	228	191	170	103	221	156
AC196475.3_FG004	1095	1143	973	1360	1427	663	1332
AC196475.3_FG005	1902	1268	1318	1158	1092	1384	1400
AC196488.3_FG007	1059	9	10	8	5	12	15
AC196489.3_FG002	501	246	357	279	740	285	256
AC196637.2_FG002	1563	7	5	7	11	8	6
AC196719.3_FG002	372	106	143	114	50	136	84
AC196779.3_FG003	900	2	5	2	14	14	10
AC196956.3_FG003	1047	27	43	40	26	34	22
AC196984.3_FG001	693	3	8	10	3	5	9
AC197013.3_FG003	297	82	93	81	111	112	92
AC197029.3_FG003	855	25	141	13	20	132	24
AC197047.3_FG001	558	72	71	90	34	79	68
AC197056.3_FG002	459	71	97	76	24	81	64
AC197056.3_FG005	1665	185	251	192	214	219	275
AC197118.3_FG005	1275	496	684	580	461	561	645
AC197122.3_FG003	1776	598	672	480	434	678	628
AC197146.3_FG002	870	194	202	159	76	65	84
AC197150.3_FG003	3389	2229	2166	2102	1950	1882	2037
AC197246.3_FG001	651	37	43	65	42	26	69
AC197246.3_FG003	402	159	299	161	203	293	205
AC197267.3_FG001	285	27	34	19	34	32	25
AC197387.3_FG004	465	333	339	373	202	433	425
AC197432.4_FG001	927	13	15	20	14	22	7
AC197545.3_FG002	1281	311	385	240	111	493	309
AC197555.3_FG008	924	103	71	122	242	66	80
AC197578.4_FG001	1818	83	85	53	46	64	67
AC197672.3_FG002	6978	1233	1386	1287	713	1189	1093
AC197699.3_FG002	1947	6	6	4	6	3	14
AC197699.3_FG003	2067	103	74	74	121	71	96
AC197705.4_FG006	1653	291	301	288	270	302	273
AC197705.4_FG007	1584	407	461	417	494	488	530
AC197705.4_FG011	2895	2185	2032	2241	1240	1485	1784
AC197714.3_FG004	372	19	21	18	16	24	14
AC197717.3_FG002	1182	33	63	58	52	36	51
AC198169.4_FG004	1776	1795	2556	1506	1233	2318	1566
AC198206.5_FG001	1752	18	17	26	21	7	25
AC198353.5_FG001	1488	240	159	278	376	505	799
AC198353.5_FG004	1602	1113	1263	1139	777	1029	1146
AC198361.3_FG004	1332	1320	1302	1424	831	1230	1316
AC198382.3_FG001	660	33	34	52	19	19	37
AC198403.3_FG001	639	5	5	1	11	3	14
AC198418.3_FG005	2782	10537	10783	10192	5125	8590	9238
AC198421.3_FG003	666	25	21	29	20	27	30
AC198481.3_FG004	2736	941	934	982	564	919	976
AC198490.3_FG003	456	75	165	52	26	199	51
AC198518.3_FG003	1367	301	283	339	278	253	364
AC198699.3_FG004	1662	1651	1557	1458	967	1652	1321
AC198725.4_FG007	3156	196	226	193	85	202	179
AC198937.4_FG003	855	44	50	47	58	38	76
AC198982.3_FG006	393	459	453	411	297	432	488
AC199001.3_FG005	1359	583	749	599	210	678	674
AC199058.2_FG001	408	122	106	105	32	87	143
AC199067.2_FG004	636	11	15	15	17	8	24
AC199068.2_FG017	1683	26	36	22	36	8	31
AC199315.4_FG001	246	171	161	150	199	281	213
AC199363.4_FG003	942	111	139	110	79	172	144
AC199487.4_FG003	246	7	7	6	3	3	12
AC199526.5_FG002	1185	1896	2495	2174	1237	1758	3518
AC199526.5_FG003	2259	1403	1320	1335	943	1179	1191
AC199541.4_FG001	1398	326	279	358	600	328	463
AC199541.4_FG002	1398	3	9	12	7	3	10
AC199541.4_FG004	1398	14	13	11	26	23	18
AC199541.4_FG007	1645	8	17	25	13	18	20
AC199571.3_FG004	768	15	25	15	16	19	14
AC199703.3_FG003	516	7	5	8	12	3	2
AC199705.3_FG008	474	601	677	602	583	564	572
AC199765.4_FG008	1491	246	272	271	135	218	304
AC199779.3_FG006	519	12	16	4	11	19	12
AC199782.5_FG001	1092	568	584	644	419	609	652
AC199782.5_FG002	1413	405	503	408	351	452	511
AC199782.5_FG003	1648	2	3	3	39	6	3
AC199826.4_FG003	816	19	13	20	23	21	16
AC199893.4_FG002	699	13	2	9	6	9	15
AC199961.4_FG001	1998	10	19	13	3	11	8
AC200057.4_FG007	1140	143	131	97	140	124	128
AC200099.4_FG006	1098	8	8	16	12	3	5
AC200178.2_FG002	531	12	12	21	9	7	23
AC200178.2_FG003	471	10	13	4	24	6	12
AC200209.1_FG001	1326	224	255	269	118	190	266
AC200210.1_FG006	1002	59	78	101	49	83	101
AC200287.4_FG006	1134	45	52	42	59	36	33
AC200739.5_FG001	444	11	10	19	2	9	6
AC200753.3_FG003	3213	16	15	11	25	16	26
AC201767.3_FG003	525	6	13	11	13	19	12
AC201769.3_FG002	312	31	41	28	26	30	30
AC201815.4_FG001	1893	48	93	55	26	85	47
AC201985.4_FG003	543	16	18	9	2	13	9
AC202073.4_FG001	1137	224	195	155	197	231	292
AC202107.3_FG001	450	22	26	10	23	29	17
AC202110.3_FG004	612	7	18	11	17	16	6
AC202144.5_FG001	429	54	62	32	28	53	56
AC202181.3_FG010	861	50	68	54	24	67	72
AC202185.4_FG004	1031	43	41	50	64	17	52
AC202432.3_FG006	747	38	57	59	34	53	48
AC202439.3_FG001	567	8	3	5	24	1	10
AC202439.3_FG006	2130	84	63	60	68	55	90
AC202549.3_FG008	537	94	55	94	76	13	97
AC202707.3_FG002	1398	9	14	5	8	11	9
AC202864.3_FG002	1149	19	33	13	12	10	17
AC202915.3_FG002	1047	45	55	68	58	68	87
AC203031.3_FG002	540	28	49	21	56	23	24
AC203048.3_FG001	246	26	34	22	10	27	25
AC203173.3_FG004	2532	11324	13713	10135	7052	11880	9477
AC203278.4_FG004	465	46	20	42	36	53	34
AC203366.4_FG001	1560	245	255	205	127	273	269
AC203392.3_FG004	1308	263	359	280	98	400	357
AC203394.3_FG004	510	34	41	36	67	18	40
AC203424.3_FG001	684	314	310	301	366	317	439
AC203535.4_FG001	2778	877	1085	833	877	994	1019
AC203535.4_FG002	1201	64	48	58	182	38	74
AC203535.4_FG004	1317	2633	2211	2752	3151	2134	2237
AC203535.4_FG006	549	10	6	9	12	10	5
AC203570.4_FG005	759	18	23	29	29	21	41
AC203752.5_FG002	312	246	264	200	124	309	231
AC203754.4_FG008	1635	26	9	30	29	55	71
AC203761.3_FG002	2001	841	902	721	555	746	598
AC203841.3_FG002	2826	430	546	453	243	464	389
AC203841.3_FG009	1191	462	468	436	256	471	487
AC203862.4_FG001	1497	18	35	29	23	22	29
AC203862.4_FG002	2205	154	164	169	84	217	106
AC203865.3_FG001	1185	56	35	42	48	35	31
AC203909.3_FG003	1647	1	0	0	25	1	9
AC203957.3_FG004	513	146	170	200	103	148	157
AC203966.5_FG002	666	954	867	1310	1829	676	1085
AC203966.5_FG005	1116	49	18	33	105	25	90
AC203972.3_FG001	2712	463	474	370	248	422	371
AC203985.4_FG001	2046	24	15	17	7	11	19
AC203985.4_FG005	441	83	103	98	153	109	111
AC203986.3_FG013	441	11	20	17	7	9	8
AC203989.4_FG001	930	10	17	13	20	28	26
AC204070.3_FG004	345	35	36	29	14	32	29
AC204212.4_FG001	291	1394	1352	1600	1015	1523	1011
AC204277.3_FG006	1578	458	396	369	400	340	486
AC204292.4_FG002	1998	82	119	77	49	81	61
AC204311.4_FG004	549	33	39	22	10	23	24
AC204359.3_FG005	1083	6	3	5	15	1	6
AC204472.3_FG002	597	10	23	14	11	12	7
AC204515.4_FG006	1512	11	15	20	36	39	84
AC204530.4_FG002	1827	157	203	162	164	177	128
AC204530.4_FG006	1413	46	40	21	45	64	48
AC204539.4_FG001	417	10	9	5	9	14	12
AC204539.4_FG002	501	61	76	75	41	56	56
AC204539.4_FG003	657	177	207	188	80	172	176
AC204604.3_FG008	507	47	51	62	53	50	74
AC204611.4_FG001	1419	14	9	10	18	12	22
AC204711.3_FG002	1728	12	12	22	14	15	20
AC204712.3_FG002	339	4	1	4	37	3	3
AC204717.3_FG005	1008	10	9	9	9	6	1
AC204887.4_FG003	573	10	19	17	12	12	6
AC204891.4_FG001	735	132	166	120	111	118	124
AC204953.3_FG002	693	19	32	22	20	19	15
AC205008.4_FG002	2652	27	29	21	32	13	43
AC205033.4_FG004	381	117	137	90	24	84	103
AC205057.3_FG002	1227	58	49	25	76	14	31
AC205057.3_FG004	1449	106	127	67	63	91	63
AC205077.3_FG003	603	280	335	290	242	235	332
AC205122.4_FG003	654	2957	3065	2860	2383	3579	2627
AC205122.4_FG010	2481	14	5	6	3	9	14
AC205154.3_FG005	1029	7	7	7	7	20	29
AC205175.3_FG002	528	32	41	29	11	33	36
AC205320.3_FG004	579	13	8	10	38	8	23
AC205326.3_FG002	978	109	120	116	129	117	131
AC205336.3_FG003	906	13	22	13	18	8	11
AC205362.4_FG002	1455	209	170	296	311	311	519
AC205376.4_FG003	510	169	93	160	241	125	122
AC205376.4_FG008	633	96	113	106	262	113	115
AC205419.3_FG001	3099	1089	1285	1031	611	937	779
AC205471.4_FG003	1341	15	5	9	7	11	20
AC205471.4_FG007	640	28	29	17	932	35	103
AC205500.3_FG002	936	39	26	24	22	35	21
AC205502.4_FG004	1614	24	30	26	33	21	33
AC205521.3_FG003	2256	222	294	260	115	225	172
AC205534.3_FG002	453	54	65	58	37	26	48
AC205558.3_FG002	399	33	36	44	23	48	61
AC205562.3_FG002	963	4	3	3	28	2	9
AC205574.3_FG006	1698	36	33	20	48	8	56
AC205608.4_FG004	1545	2665	2313	2386	1694	2675	2213
AC205673.3_FG006	438	35	32	35	25	28	32
AC205677.3_FG001	3429	503	532	419	319	486	419
AC205703.4_FG002	1979	386	547	652	381	493	669
AC205703.4_FG005	1542	105	60	91	70	90	101
AC205703.4_FG006	1501	412	368	401	456	216	265
AC205703.4_FG010	3462	459	525	463	336	545	584
AC205725.3_FG010	1092	711	643	650	461	618	685
AC205730.3_FG002	1602	245	270	252	150	258	249
AC205735.3_FG006	1389	52	57	32	24	57	39
AC205853.3_FG014	2694	27	33	31	13	38	39
AC205886.3_FG001	1011	1197	1118	1407	709	1429	1098
AC205982.3_FG014	576	191	237	239	67	217	251
AC206165.3_FG007	1410	32	30	27	14	22	33
AC206165.3_FG019	1498	60	34	53	116	63	52
AC206169.3_FG002	890	23	21	15	5	17	9
AC206198.3_FG001	1086	144	153	164	125	183	166
AC206199.3_FG005	345	59	75	103	45	80	65
AC206201.3_FG004	201	32	45	30	22	30	52
AC206223.3_FG001	1263	53	42	46	20	24	22
AC206223.3_FG006	1785	24	46	40	18	16	17
AC206223.3_FG010	321	128	67	175	176	66	226
AC206259.3_FG002	2721	4	12	9	1	11	6
AC206259.3_FG003	3704	1115	1190	1125	647	1085	1086
AC206425.3_FG002	648	22	22	32	6	4	12
AC206582.2_FG002	435	238	398	232	77	233	272
AC206642.4_FG001	786	919	1366	1019	796	1378	944
AC206764.4_FG001	2067	64	68	87	37	56	78
AC206780.3_FG004	2604	17	27	13	4	11	21
AC206788.3_FG008	270	4	23	10	11	32	11
AC206788.3_FG015	3506	308	322	467	1167	418	694
AC206840.3_FG002	321	96	102	101	113	80	117
AC206898.3_FG006	1143	36	34	39	18	33	38
AC206951.3_FG017	921	3	2	0	77	2	3
AC206968.3_FG003	1281	890	1017	746	709	969	787
AC206989.4_FG002	408	172	147	151	131	161	137
AC207043.3_FG002	1691	12	10	10	43	18	24
AC207225.3_FG003	1368	20	22	21	11	16	25
AC207260.3_FG003	471	29	18	16	14	14	33
AC207265.3_FG002	1674	885	965	849	570	882	854
AC207342.3_FG007	855	91	84	94	96	87	114
AC207342.3_FG008	1029	506	543	540	1355	575	862
AC207347.3_FG005	1485	298	317	287	205	387	334
AC207427.3_FG005	171	9	8	25	1	11	14
AC207533.2_FG002	363	26	45	28	8	29	30
AC207546.3_FG004	1533	4	10	17	11	7	14
AC207628.4_FG003	5469	24	28	18	21	19	15
AC207628.4_FG009	2163	588	551	530	356	560	549
AC207628.4_FG010	828	18	12	15	92	9	33
AC207628.4_FG011	1728	313	368	334	156	255	262
AC207652.3_FG001	2889	231	208	165	164	253	237
AC207656.3_FG002	2151	286	254	280	175	196	291
AC207722.2_FG009	1166	10658	10346	11917	41445	6540	30035
AC207728.2_FG003	1899	18	23	17	16	22	29
AC207755.3_FG005	879	18	22	33	22	14	25
AC207756.3_FG001	387	56	88	66	40	86	62
AC207793.3_FG002	1151	17	13	23	16	21	23
AC207798.2_FG003	657	97	111	99	82	159	118
AC207803.3_FG003	600	251	237	171	172	89	163
AC207890.3_FG002	2961	1454	1742	1482	1293	1556	1639
AC208023.3_FG001	528	1145	863	1291	1101	1017	1265
AC208031.3_FG002	594	3	15	6	5	9	4
AC208031.3_FG005	477	6	11	2	11	14	7
AC208110.2_FG006	4132	515	577	542	323	491	573
AC208110.2_FG007	784	42	30	31	94	29	16
AC208113.3_FG005	1155	77	75	77	63	79	127
AC208113.3_FG009	213	72	71	94	51	70	99
AC208201.3_FG001	1452	97	100	107	180	119	124
AC208201.3_FG002	1167	76	115	80	60	106	105
AC208201.3_FG003	1668	120	122	153	113	106	106
AC208204.3_FG006	477	184	233	255	237	343	262
AC208212.3_FG001	492	52	43	55	27	34	64
AC208308.3_FG004	486	10	28	10	4	14	6
AC208327.4_FG003	1895	637	887	488	543	889	731
AC208327.4_FG006	2047	297	282	342	270	265	328
AC208341.4_FG005	501	146	126	203	246	79	190
AC208341.4_FG006	912	107	93	86	64	120	98
AC208346.3_FG004	1944	88	92	98	118	95	122
AC208348.3_FG012	1575	10	6	9	31	8	12
AC208358.3_FG005	1791	66	82	110	55	87	112
AC208436.3_FG007	3042	35	50	46	27	45	44
AC208440.3_FG003	2184	447	495	341	276	432	381
AC208571.4_FG001	714	723	705	779	561	589	670
AC208724.3_FG001	798	175	230	218	95	205	270
AC208855.3_FG002	243	14	14	11	49	24	30
AC208860.3_FG002	861	18	16	25	16	8	37
AC208897.3_FG003	2163	20	16	11	22	7	7
AC208897.3_FG004	1617	386	260	307	723	704	1385
AC208915.3_FG010	780	1	2	4	16	2	13
AC209080.3_FG004	1087	2	6	2	36	5	2
AC209206.3_FG011	3279	707	633	649	262	510	500
AC209208.3_FG001	2967	458	468	501	248	441	383
AC209208.3_FG002	870	938	1001	1292	1418	723	1463
AC209208.3_FG005	1088	209	209	188	219	158	212
AC209242.3_FG003	1248	200	201	198	214	193	223
AC209257.4_FG003	963	23	19	23	25	7	35
AC209257.4_FG006	618	11	9	2	74	57	96
AC209257.4_FG008	654	10	6	9	60	6	12
AC209332.3_FG011	1593	36	35	37	17	44	58
AC209374.4_FG002	678	202	167	187	448	137	255
AC209377.3_FG003	492	7	5	3	33	2	6
AC209460.3_FG002	480	276	288	223	125	295	212
AC209626.2_FG013	327	56	70	71	83	51	48
AC209636.2_FG003	1080	4	5	2	32	1	8
AC209664.3_FG002	1506	77	87	82	43	56	47
AC209705.3_FG004	2721	965	992	891	436	783	894
AC209718.1_FG009	1926	19	42	22	9	30	29
AC209780.2_FG003	621	43	26	27	23	34	24
AC209784.3_FG007	1947	6	5	4	76	68	106
AC209784.3_FG011	2049	18	23	24	15	14	35
AC209819.3_FG003	594	4	10	0	53	66	33
AC209819.3_FG012	1110	39	53	69	25	54	48
AC209835.4_FG004	1398	283	247	263	296	290	335
AC209858.4_FG002	3151	170	198	146	180	277	189
AC209858.4_FG004	684	16	23	22	112	12	30
AC209877.3_FG002	2493	211	241	184	128	194	184
AC209898.2_FG004	1026	146	142	172	213	184	240
AC209987.4_FG002	2399	46	68	96	52	21	71
AC209987.4_FG010	810	3	1	3	42	5	32
AC210003.2_FG004	999	15	11	18	10	8	8
AC210003.2_FG015	207	811	854	711	956	410	733
AC210013.4_FG002	725	12	10	25	12	11	12
AC210013.4_FG003	1489	20	8	6	15	7	14
AC210013.4_FG006	1148	138	116	136	143	78	65
AC210013.4_FG008	1890	634	591	551	389	577	600
AC210013.4_FG009	906	65	45	52	97	64	73
AC210013.4_FG011	1407	1549	1563	1781	1192	1426	1551
AC210013.4_FG012	771	10	10	12	39	5	10
AC210013.4_FG013	1569	277	306	274	132	252	210
AC210013.4_FG014	1617	1069	1053	839	945	911	972
AC210013.4_FG016	252	71	61	42	543	27	85
AC210013.4_FG018	1145	57	86	61	67	89	114
AC210013.4_FG019	825	265	256	230	514	205	269
AC210023.3_FG014	702	284	328	343	183	325	398
AC210023.3_FG015	246	57	46	69	71	39	45
AC210027.3_FG003	414	10	4	9	2	5	9
AC210035.3_FG002	804	10	13	5	7	11	1
AC210050.3_FG006	3363	58	53	88	28	42	83
AC210158.3_FG004	1191	15	27	31	18	22	23
AC210169.3_FG002	2403	115	137	152	118	108	138
AC210173.4_FG002	1164	137	194	123	68	168	114
AC210173.4_FG005	2064	13	24	32	91	25	56
AC210193.4_FG002	840	30	23	26	59	8	8
AC210199.4_FG003	516	55	98	79	83	66	61
AC210204.3_FG002	1746	671	587	721	2873	755	1050
AC210303.3_FG001	399	637	761	718	633	591	738
AC210314.3_FG006	845	282	238	294	731	341	486
AC210517.3_FG003	1088	38	59	23	50	30	32
AC210529.3_FG004	805	141	115	136	124	105	131
AC210593.3_FG001	609	9	17	19	6	25	15
AC210595.3_FG004	465	33	31	30	29	26	51
